ID	Time
150036840	12:01AM
150043760	12:01AM
150081237	12:01AM
150090476	12:01AM
150094393	12:01AM
150139121	12:01AM
150148906	12:01AM
150225601	12:01AM
150294167	12:01AM
150337557	12:01AM
150353848	12:01AM
150358202	12:01AM
150364522	12:01AM
150373175	12:01AM
150380631	12:01AM
150390668	12:01AM
150392294	12:01AM
150418282	12:01AM
150434620	12:01AM
150441277	12:01AM
150455870	12:01AM
150481994	12:01AM
150489772	12:01AM
150496272	12:01AM
150520019	12:01AM
150523358	12:01AM
150526249	12:01AM
150530836	12:01AM
150543641	12:01AM
150547392	12:01AM
150584714	12:01AM
150589792	12:01AM
150590410	12:01AM
150720918	12:01AM
150763407	12:01AM
150776892	12:01AM
150797616	12:01AM
150828415	12:01AM
150835573	12:01AM
150836587	12:01AM
150876840	12:01AM
150888481	12:01AM
150911098	12:01AM
150967546	12:01AM
151109109	12:01AM
151121783	12:01AM
159005854	12:01AM
150302867	12:02AM
150736197	12:02AM
150808837	12:02AM
150002675	12:05AM
150281437	12:05AM
150555163	12:05AM
150581049	12:05AM
150629445	12:05AM
150713797	12:05AM
150996589	12:05AM
151077998	12:05AM
151098267	12:05AM
150258652	12:08AM
150043384	12:10AM
150136729	12:10AM
150152355	12:10AM
150265704	12:10AM
150340403	12:10AM
150361948	12:10AM
150392357	12:10AM
150502261	12:10AM
150581011	12:10AM
150667376	12:10AM
150694664	12:10AM
150759309	12:10AM
150765641	12:10AM
150539355	12:12AM
150811909	12:12AM
150127483	12:13AM
150524447	12:13AM
150025069	12:15AM
150043334	12:15AM
150079248	12:15AM
150084059	12:15AM
150183554	12:15AM
150201708	12:15AM
150262023	12:15AM
150308865	12:15AM
150364566	12:15AM
150367770	12:15AM
150457672	12:15AM
150493228	12:15AM
150511955	12:15AM
150558355	12:15AM
150583465	12:15AM
150586168	12:15AM
150648887	12:15AM
150676270	12:15AM
150762506	12:15AM
150824300	12:15AM
151110407	12:15AM
150367792	12:16AM
150065758	12:17AM
150915909	12:17AM
150608609	12:18AM
150999862	12:18AM
150072173	12:20AM
150642306	12:20AM
150759296	12:20AM
150778478	12:20AM
150865467	12:20AM
150934523	12:20AM
151055198	12:20AM
150910147	12:22AM
150448126	12:23AM
150306079	12:25AM
150364594	12:25AM
150617478	12:25AM
150690167	12:25AM
150988097	12:25AM
151012825	12:25AM
151012875	12:25AM
151052724	12:25AM
151080838	12:25AM
150947297	12:27AM
151106707	12:27AM
150629495	12:28AM
151075497	12:28AM
150053242	12:30AM
150075111	12:30AM
150190026	12:30AM
150204718	12:30AM
150229932	12:30AM
150229998	12:30AM
150230901	12:30AM
150256543	12:30AM
150262067	12:30AM
150283502	12:30AM
150327514	12:30AM
150337381	12:30AM
150350593	12:30AM
150390185	12:30AM
150396622	12:30AM
150476757	12:30AM
150480059	12:30AM
150515214	12:30AM
150515220	12:30AM
150571937	12:30AM
150592911	12:30AM
150605815	12:30AM
150638082	12:30AM
150645877	12:30AM
150658927	12:30AM
150688946	12:30AM
150739157	12:30AM
150886899	12:30AM
150890492	12:30AM
150896274	12:30AM
150905944	12:30AM
150968340	12:30AM
150973838	12:30AM
151053675	12:30AM
160010793	12:30AM
150752717	12:32AM
150934539	12:32AM
150155387	12:33AM
150055953	12:34AM
150246221	12:35AM
150314903	12:35AM
150324300	12:35AM
150489744	12:35AM
150821312	12:35AM
150979228	12:35AM
150448160	12:37AM
151060711	12:37AM
150062481	12:40AM
150130765	12:40AM
150252319	12:40AM
150255379	12:40AM
150333301	12:40AM
150583562	12:40AM
150865508	12:40AM
150892357	12:40AM
150895022	12:40AM
150898305	12:40AM
150742702	12:41AM
150418204	12:42AM
150046758	12:45AM
150051296	12:45AM
150072242	12:45AM
150090608	12:45AM
150201736	12:45AM
150305952	12:45AM
150349671	12:45AM
150448273	12:45AM
150575133	12:45AM
150578240	12:45AM
150759387	12:45AM
150815246	12:45AM
151029557	12:45AM
151113360	12:48AM
150973866	12:49AM
150090636	12:50AM
150467223	12:50AM
150496363	12:50AM
150558418	12:50AM
150752767	12:50AM
150805758	12:50AM
150915959	12:50AM
150950228	12:51AM
150876715	12:52AM
150931541	12:53AM
150030955	12:55AM
150210420	12:55AM
150694727	12:55AM
150726483	12:55AM
150824441	12:55AM
150752808	12:59AM
150010311	1:00AM
150021700	1:00AM
150033432	1:00AM
