ID	Time
150017276	16:53
150007374	14:06
150017787	13:00
150021346	17:30
150022297	08:55
150011660	02:40
150022065	08:25
150023994	15:30
150026669	09:30
150019937	20:50
150026885	16:25
150027128	07:30
150035325	15:45
150036470	16:30
150025837	09:30
150027300	18:32
150026982	19:30
150027485	19:19
150027645	21:00
150027849	22:02
150027877	22:00
150042160	16:39
100620186	16:30
120554383	14:33
120554383	14:33
130165027	22:50
150058822	23:51
150002114	15:00
150002506	14:00
150002506	14:00
150065162	09:24
150071147	00:01
150072496	01:54
150002697	19:50
150002700	20:15
150028251	15:00
150075149	00:43
150002926	23:15
150003156	03:20
150003162	02:00
150006116	01:28
150084225	01:30
150035648	16:20
150084811	17:20
150006285	03:36
150006285	03:36
150006570	18:30
150042035	16:30
150092369	01:00
150042574	19:15
150092870	19:13
150006837	11:35
150045675	17:00
150096606	00:35
150045829	18:41
150096781	23:30
150046253	20:27
150097375	00:30
150097911	13:00
150104782	16:35
150105097	17:30
150052501	18:00
150106001	23:15
150052880	21:45
150106528	05:55
150007089	12:40
150007120	00:30
150007192	12:51
150007380	14:00
150054068	09:55
150107883	14:03
150015753	18:00
150113783	17:00
150016074	08:40
150016096	10:38
150016278	11:45
150065849	02:00
150124235	23:56
150016488	13:53
150133468	23:00
150016767	14:50
150017135	12:00
150140576	11:00
150017389	15:17
150084968	09:40
150153870	15:16
150017709	19:21
150017721	19:20
150017931	07:30
150017969	11:00
150018127	21:50
150018296	18:20
150018309	23:20
150090357	23:40
150160790	15:20
150090636	00:50
150161453	20:00
150094525	10:37
150166475	13:30
150018434	17:00
150018456	22:48
150018616	16:00
150169598	08:00
150169855	08:30
150100702	09:00
150173787	13:30
150018832	08:50
150018939	08:00
150177472	11:00
150019012	20:00
150019028	10:11
150187302	16:37
150019307	09:00
150019313	19:30
150188877	08:02
150115585	21:00
150189079	10:10
150019498	18:30
150019517	12:00
150117575	15:45
150190587	17:58
150019761	10:55
150019818	13:30
150191193	08:00
150020047	14:00
150020053	15:00
150020285	16:15
150020520	23:30
150020520	23:30
150020730	17:00
150020746	15:00
150020956	19:25
150130765	00:40
150202267	18:30
150021120	20:04
150021120	20:04
150131876	12:30
150203209	08:00
150021352	22:16
150021352	22:16
150021584	01:30
150204752	00:13
140240954	08:55
150021744	21:35
150021750	01:53
150021766	01:15
150021932	07:22
150021954	07:40
150022112	05:00
150210533	02:30
150022407	18:00
150022429	10:48
150022651	20:00
150022667	10:45
150022849	19:30
150022849	19:30
150023013	02:00
150023029	08:00
150023314	13:43
150023314	13:43
150023552	15:10
150023574	14:30
150023784	17:30
150150105	11:50
150218048	11:38
150023972	08:00
150023988	11:30
150024209	18:35
150024215	15:25
150024641	21:35
150024839	21:00
150024845	21:55
150224863	10:08
150022720	11:45
150024986	23:54
150024986	23:54
150025003	23:33
150161839	12:30
150228382	15:07
150024992	17:00
150025122	01:19
150025138	01:35
150025138	01:35
150025241	04:01
150025257	04:00
150025451	07:30
150025859	16:30
150025865	10:38
150025865	10:38
150026039	12:00
150026045	10:35
150037406	17:30
150037412	10:12
150037581	10:30
150037741	11:15
150037826	11:20
150250896	01:00
150037989	10:50
150038012	13:28
150038153	13:30
150252507	01:40
150220617	06:50
150253088	09:25
150038266	14:26
150038539	15:45
150038545	15:30
150038824	15:00
150258765	18:00
150039082	17:30
150229863	00:18
150261542	19:30
150039355	22:00
150039361	19:57
150267647	16:30
150039123	13:52
150239890	01:39
150271325	12:00
150241992	13:30
150272793	03:44
150274971	20:19
150245966	17:00
150276610	12:00
150039587	20:01
150039844	18:30
150039850	23:15
150040073	01:58
150040136	03:00
150283392	15:46
